Hour	Lane 1 Flow (Veh/Hour)	Lane 2 Flow (Veh/Hour)	Flow (Veh/Hour)	# Lane Points	% Observed
07/25/2014 02:00	47	135	182	24	100
07/25/2014 03:00	43	109	152	24	100
07/25/2014 04:00	23	90	113	24	100
07/25/2014 05:00	58	138	196	24	100
07/25/2014 06:00	44	146	190	24	100
07/25/2014 07:00	96	230	326	24	100
07/25/2014 08:00	186	348	534	24	100
07/25/2014 09:00	312	435	747	24	100
07/25/2014 10:00	554	416	970	24	100
07/25/2014 11:00	433	522	955	24	100
07/25/2014 12:00	493	565	1058	24	100
07/25/2014 13:00	493	554	1047	24	100
07/25/2014 14:00	472	555	1027	24	100
07/25/2014 15:00	433	534	967	24	100
07/25/2014 16:00	445	591	1036	24	100
07/25/2014 17:00	395	533	928	24	100
07/25/2014 18:00	411	514	925	24	100
07/25/2014 19:00	310	456	766	24	100
07/25/2014 20:00	271	395	666	24	100
07/25/2014 21:00	234	359	593	24	100
07/25/2014 22:00	159	295	454	24	100
07/25/2014 23:00	114	240	354	24	100
07/26/2014 00:00	68	195	263	24	100
07/26/2014 01:00	63	161	224	24	100
07/26/2014 02:00	82	127	209	24	100
07/26/2014 03:00	52	106	158	24	100
07/26/2014 04:00	35	108	143	24	100
07/26/2014 05:00	38	116	154	24	100
07/26/2014 06:00	46	135	181	24	100
07/26/2014 07:00	106	234	340	24	100
07/26/2014 08:00	190	316	506	24	100
07/26/2014 09:00	300	423	723	24	100
07/26/2014 10:00	405	481	886	24	100
07/26/2014 11:00	407	558	965	24	100
07/26/2014 12:00	477	567	1044	24	100
07/26/2014 13:00	510	550	1060	24	100
07/26/2014 14:00	438	530	968	24	100
07/26/2014 15:00	420	524	944	24	100
07/26/2014 16:00	426	479	905	24	100
07/26/2014 17:00	319	429	748	24	100
07/26/2014 18:00	295	423	718	24	100
07/26/2014 19:00	197	358	555	24	100
07/26/2014 20:00	191	356	547	24	100
07/26/2014 21:00	148	279	427	24	100
07/26/2014 22:00	117	242	359	24	100
07/26/2014 23:00	105	239	344	24	100
07/27/2014 00:00	61	199	260	24	100
07/27/2014 01:00	59	157	216	24	100
07/27/2014 02:00	43	137	180	24	100
07/27/2014 03:00	36	104	140	24	100
07/27/2014 04:00	36	109	145	24	100
07/27/2014 05:00	33	95	128	24	100
07/27/2014 06:00	41	105	146	24	100
07/27/2014 07:00	48	173	221	24	100
07/27/2014 08:00	120	285	405	24	100
07/27/2014 09:00	190	359	549	24	100
07/27/2014 10:00	323	486	809	24	100
07/27/2014 11:00	399	517	916	24	100
07/27/2014 12:00	502	585	1087	24	100
07/27/2014 13:00	534	598	1132	24	100
07/27/2014 14:00	455	552	1007	24	100
07/27/2014 15:00	494	604	1098	24	100
07/27/2014 16:00	456	531	987	24	100
07/27/2014 17:00	408	535	943	24	100
07/27/2014 18:00	334	464	798	24	100
07/27/2014 19:00	312	412	724	24	100
07/27/2014 20:00	261	345	606	24	100
07/27/2014 21:00	234	348	582	24	100
07/27/2014 22:00	113	242	355	24	100
07/27/2014 23:00	156	112	268	24	100
07/28/2014 00:00	68	139	207	24	100
07/28/2014 01:00	59	116	175	24	100
07/28/2014 02:00	26	101	127	24	100
07/28/2014 03:00	18	72	90	24	100
07/28/2014 04:00	29	91	120	24	100
07/28/2014 05:00	38	114	152	24	100
07/28/2014 06:00	27	130	157	24	100
07/28/2014 07:00	70	177	247	24	100
07/28/2014 08:00	144	293	437	24	100
07/28/2014 09:00	153	336	489	24	100
07/28/2014 10:00	248	410	658	24	100
07/28/2014 11:00	317	454	771	24	100
07/28/2014 12:00	376	470	846	24	100
07/28/2014 13:00	384	551	935	24	100
07/28/2014 14:00	326	498	824	24	100
07/28/2014 15:00	246	461	707	24	100
07/28/2014 16:00	276	434	710	24	100
07/28/2014 17:00	242	390	632	24	100
07/28/2014 18:00	248	397	645	24	100
07/28/2014 19:00	157	318	475	24	100
07/28/2014 20:00	137	286	423	24	100
07/28/2014 21:00	120	242	362	24	100
07/28/2014 22:00	91	218	309	24	100
07/28/2014 23:00	56	169	225	24	100
07/29/2014 00:00	36	141	177	24	100
07/29/2014 01:00	38	142	180	24	100
07/29/2014 02:00	25	112	137	24	100
07/29/2014 03:00	26	95	121	24	100
07/29/2014 04:00	23	74	97	24	100
07/29/2014 05:00	29	124	153	24	100
07/29/2014 06:00	36	151	187	24	100
07/29/2014 07:00	81	200	281	24	100
07/29/2014 08:00	111	283	394	24	100
07/29/2014 09:00	183	343	526	24	100
07/29/2014 10:00	269	411	680	24	100
07/29/2014 11:00	321	443	764	24	100
07/29/2014 12:00	346	479	825	24	100
07/29/2014 13:00	261	392	653	24	83
07/29/2014 14:00	103	166	269	24	100
07/29/2014 15:00	335	457	792	24	100
07/29/2014 16:00	332	438	770	24	100
07/29/2014 17:00	232	400	632	24	100
07/29/2014 18:00	201	374	575	24	100
07/29/2014 19:00	144	324	468	24	100
07/29/2014 20:00	139	281	420	24	100
07/29/2014 21:00	115	234	349	24	100
07/29/2014 22:00	91	245	336	24	100
07/29/2014 23:00	70	184	254	24	100
07/30/2014 00:00	41	162	203	24	100
07/30/2014 01:00	44	134	178	24	100
07/30/2014 02:00	35	112	147	24	100
07/30/2014 03:00	29	85	114	24	100
07/30/2014 04:00	24	88	112	24	100
07/30/2014 05:00	40	112	152	24	100
07/30/2014 06:00	37	153	190	24	100
07/30/2014 07:00	77	185	262	24	100
07/30/2014 08:00	159	285	444	24	100
07/30/2014 09:00	234	373	607	24	100
07/30/2014 10:00	297	402	699	24	100
07/30/2014 11:00	308	478	786	24	100
07/30/2014 12:00	349	458	807	24	100
07/30/2014 13:00	391	487	878	24	100
07/30/2014 14:00	403	473	876	24	100
07/30/2014 15:00	390	455	845	24	100
07/30/2014 16:00	291	443	734	24	75
07/30/2014 17:00	280	444	724	24	100
07/30/2014 18:00	243	411	654	24	100
07/30/2014 19:00	182	320	502	24	100
07/30/2014 20:00	198	293	491	24	100
07/30/2014 21:00	120	235	355	24	100
07/30/2014 22:00	99	206	305	24	100
07/30/2014 23:00	84	204	288	24	100

